This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202309 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on BEME and OP.

The portfolios are constructed at the end of June. BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

Please be aware that some of the value-weight averages of operating profitability for
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for
individual firms. We have spot checked the accounting data that produce the
extraordinary values and all the numbers we examined accurately reflect the
data in the firm’s accounting statements.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,LoBM LoOP,BM1 OP2,BM1 OP3,BM1 OP4,LoBM HiOP,BM2 OP1,BM2 OP2,BM2 OP3,BM2 OP4,BM2 OP5,BM3 OP1,BM3 OP2,BM3 OP3,BM3 OP4,BM3 OP5,BM4 OP1,BM4 OP2,BM4 OP3,BM4 OP4,BM4 OP5,HiBM LoOP,BM5 OP2,BM5 OP3,BM5 OP4,HiBM HiOP
196307,   1.2623,   2.3561,   0.0607,  -1.3786,   0.5664,   0.9993,   1.1767,   0.0873,  -0.5648,  -1.7854,  -0.7918,   1.4227,  -1.2292,  -1.5539,  -0.0369,  -1.9017,  -0.6962,  -5.3396,   0.8350,   2.2712,  -2.0831,   1.3898,   2.7043,  -2.6274,  -1.4786
196308,   5.8711,   1.9047,   6.0121,   5.2857,   5.3890,   0.9254,   3.1166,   3.9449,   4.8578,   5.2287,   5.5902,   3.6636,   5.6317,   3.7989,   5.8009,   7.1559,   5.9545,  14.9653,   3.8425,  11.8604,   5.1897,   4.7552,   2.5373,   6.3988,   3.3189
196309,  -5.0591,  -4.6978,   1.3522,  -2.0855,  -1.2833,  -2.1914,  -3.4784,   0.4944,  -2.7454,  -4.8934,  -0.9372,  -0.1508,  -2.4635,  -1.6323,  -2.3881,  -1.6790,  -0.5462,   3.6673,  -1.4547,  -8.5726,  -2.9201,  -4.8250,  -1.0572,  -0.4710,  -3.3070
196310,  -2.4794,  -3.7541,   0.7433,   3.8618,   7.2150,  -0.5754,   1.8540,   2.4607,  -0.9950,   2.5919,   1.3961,  -0.6946,   0.6194,   2.1658,   4.7297,   2.6678,   0.1624,   9.8256,   6.1852,  18.6751,   1.1568,   1.2259,   2.0655,  -3.0212,   8.2982
196311,  -3.1730,  -0.8676,  -1.5319,   0.5807,  -3.6904,  -5.8194,  -0.4104,   1.5279,  -1.1904,  -2.3474,   0.6154,  -3.1737,  -0.9492,  -2.6932,   0.3137,  -0.2609,  -2.3525,  -5.0123,   0.6559,   5.1434,   0.5268,  -2.5245,  -1.6689,  -0.4706,  -3.1219
196312,  -0.9296,   5.4433,   1.5981,   2.6231,   1.8167,   0.0539,   4.8547,   1.3019,   2.9934,   0.8401,  -0.7572,   2.9103,   1.4340,  -0.7400,  -0.7439,   1.7401,   2.4603,  -0.5900,   2.8344,   4.8308,   1.6488,   4.8270,  -4.2720,  -3.8436,  -0.3420
196401,   0.4857,   3.8439,   3.8037,   1.9039,   2.9164,   4.0308,   6.1827,   2.4028,   0.6204,   1.8598,  -0.4431,   3.3613,  -0.6239,  -0.4819,   1.8693,   3.0717,   2.5566,  -1.2449,   1.4916,  10.3651,   2.7194,   1.6014,   1.9294,   0.0364,   0.3297
196402,   7.5483,   1.6543,   0.8380,   0.7109,   1.8724,  -2.0425,   0.1162,   0.1442,   1.6733,  -0.2142,   3.2148,   0.4838,   1.1347,   2.0197,   3.3516,   2.1537,   2.6579,   9.4632,   5.2618,  10.5977,   3.3915,   0.7536,   4.9988,   9.2432,   6.8018
196403,  -1.0295,  -1.6350,  -0.7120,   0.9754,   1.7396,  -0.0698,   2.3401,  -0.3679,   2.7195,   4.3805,   2.8549,   4.6640,   3.9973,   2.4358,   2.9788,   6.3170,   4.1167,   3.1793,   4.3033,  13.4159,   3.6905,   0.3167,  -1.6853,  -1.1456,  10.7413
196404,   5.0867,   6.0469,   0.3176,  -2.5530,   0.4954,   7.1734,   2.0955,   0.3080,   2.0130,   1.4307,   7.1447,   0.1779,  -0.6806,   1.2250,  -2.3942,  -2.2791,  -0.2121,  -0.9475,  -4.6637, -10.5017,  -2.0136,  10.4149,  -2.0268,   2.5328,  -2.3086
